,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
95,lompoc,0.0,US,2018-11-30 17:56:00,59.0,34.64,-120.46,60.46,13.87
97,chumikan,44.0,RU,2018-11-30 18:31:34,76.0,54.72,135.31,-0.27,13.4
98,san juan pueblo,20.0,HN,2018-11-30 18:00:00,70.0,15.6,-87.21,85.08,2.24
99,dikson,20.0,RU,2018-11-30 18:31:35,100.0,73.51,80.55,-11.79,15.57
100,bredasdorp,0.0,ZA,2018-11-30 18:00:00,82.0,-34.53,20.04,68.0,5.82
101,aripuana,92.0,BR,2018-11-30 18:28:46,78.0,-9.17,-60.63,83.61,3.11
102,izhma,92.0,RU,2018-11-30 18:30:20,89.0,65.01,53.91,23.72,5.79
103,mahebourg,20.0,MU,2018-11-30 18:00:00,83.0,-20.41,57.7,77.0,2.24
105,butaritari,44.0,KI,2018-11-30 18:30:21,100.0,3.07,172.79,83.39,8.59
106,atar,0.0,MR,2018-11-30 18:30:22,10.0,20.52,-13.05,82.26,8.75
107,puerto penasco,0.0,MX,2018-11-30 18:30:22,92.0,31.32,-113.53,68.41,13.96
108,hobart,75.0,AU,2018-11-30 18:00:00,71.0,-42.88,147.33,51.8,5.82
110,challapata,8.0,BO,2018-11-30 18:30:23,17.0,-18.9,-66.78,59.31,8.81
111,glendive,1.0,US,2018-11-30 18:15:00,78.0,47.11,-104.71,37.22,3.36
113,port macquarie,40.0,AU,2018-11-30 18:00:00,93.0,-31.43,152.91,57.2,3.27
114,sao jose da coroa grande,36.0,BR,2018-11-30 18:30:24,77.0,-8.9,-35.15,82.85,10.94
115,camacha,40.0,PT,2018-11-30 17:30:00,82.0,33.08,-16.33,63.34,10.29
116,esqueda,8.0,MX,2018-11-30 18:30:25,57.0,30.72,-109.59,52.2,9.26
117,snyder,1.0,US,2018-11-30 17:55:00,53.0,32.72,-100.92,68.95,13.87
118,bethel,75.0,US,2018-11-30 17:56:00,92.0,60.79,-161.76,29.19,11.41
119,la ronge,90.0,CA,2018-11-30 18:00:00,85.0,55.1,-105.3,23.0,2.24
